CropID,Crop,Produces (MF List),Requires (MF List),Suppresses (MF List)
CRP0031,Turmeric,"MF8, MF9, MF17, MF24, MF25, MF26","MF1, MF6, MF14","MF3G, MF10, MF15"
CRP0080,Black Pepper,"MF1, MF6, MF14","MF1, MF4, MF14","MF3G, MF10"
CRP0082,Betel Leaf,MF14,"MF1, MF6, MF11, MF14","MF3G, MF10, MF15"
CRP0044,Coriander,MF16,"MF3L, MF13","MF2, MF14"
CRP0100,Tamarind,"MF1,MF2,MF4,MF6,MF8,MF11,MF14,MF17,MF24,MF25,MF26","MF3U,MF13","MF3G,MF3L,MF10,MF13,MF15,MF16,MF18,MF23"
CRP0070,Cashew,"MF1,MF6,MF17,MF18,MF25,MF26","MF3L, MF13","MF3G,MF10,MF14,MF16,MF23"
CRP0076,Areca Nut,"MF1, MF6, MF14, MF16, MF17, MF24, MF25","MF1, MF14","MF3G, MF10"
CRP0077,Cocoa,"MF1, MF4, MF6, MF14, MF17, MF19, MF20, MF24, MF25","MF1, MF4, MF14","MF3G, MF10, MF13"
CRP0078,Coffee,"MF1, MF6, MF14, MF17, MF19, MF20, MF24, MF25","MF1, MF14","MF3G, MF10, MF13"
CRP0079,Tea,"MF1, MF6, MF14, MF17, MF24, MF25","MF1, MF14","MF3G, MF10"
CRP0081,cloves,"MF1, MF6, MF14, MF17, MF19, MF20, MF24, MF25, MF26","MF3L, MF14","MF3G, MF10"
CRP0083,Cardamom,"MF1, MF4, MF14, MF17, MF19, MF24","MF1, MF4, MF14","MF3G, MF10, MF13"
