CropID,Crop,Produces (MF List),Requires (MF List),Suppresses (MF List)
CRP0001,Paddy Rice,"MF2, MF5, MF6, MF8, MF9, MF12, MF14, MF17, MF18, MF22, MF24, MF25","MF3G, MF8, MF9, MF11","MF3G, MF10, MF13, MF15"
CRP0002,Maize,"MF1, MF2, MF3U, MF11, MF12, MF14, MF16, MF19, MF20, MF24, MF25, MF27","MF3U, MF13","MF3G, MF3L, MF10, MF13"
CRP0003,Jowar,"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0004,Bajra,"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0005,Ragi,"MF3G, MF3L, MF13, MF16, MF24, MF25","MF3G, MF3L, MF13","MF1, MF2, MF10, MF14, MF15, MF18"
CRP0006,Wheat,"MF3G, MF3L, MF13, MF16, MF24, MF25","MF3G, MF13","MF1, MF2, MF14"
CRP0007,Foxtail Millet (Korralu),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0008,Little Millet (Samalu),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0009,Barnyard Millet (Udalu),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0010,Proso Millet (Varigalu),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0011,Kodo Millet (Paspalum scrobiculatum),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
CRP0012,Browntop Millet (Urochloa ramosa / Brachiaria ramosa),"MF3G, MF3L, MF10, MF13, MF15, MF16, MF19, MF20, MF24, MF25","MF3G, MF3L, MF11, MF15","MF1, MF2, MF6, MF8, MF9, MF14"
