CropID,Crop,Produces (MF List),Requires (MF List),Suppresses (MF List)
CRP0065,Mango,"MF1, MF3U, MF4, MF6, MF8, MF11, MF14, MF17, MF19, MF20, MF24, MF25","MF3U, MF13","MF3G, MF3L, MF10"
CRP0071,Banana,"MF3L, MF6, MF8, MF9, MF14, MF17, MF24, MF25","MF3L, MF1, MF11","MF3G, MF10, MF13, MF15"
CRP0069,Coconut,"MF1, MF3U, MF4, MF6, MF8, MF11, MF14, MF17, MF19, MF20, MF24, MF25","MF3U, MF13","MF3G, MF10"
CRP0066,Citrus,"MF1, MF3L, MF6, MF8, MF17, MF19, MF20, MF24, MF25","MF3L, MF13",MF3G
,Sapota,"MF1, MF3L, MF6, MF17, MF19, MF20, MF24, MF25",MF3L,MF3G
CRP0067,Guava,"MF1, MF3L, MF17, MF19, MF20, MF24, MF25",MF3L,MF3G
CRP0068,Papaya,"MF3L, MF19","MF3L, MF11",MF3G
CRP0072,Jackfruit,"MF1, MF3U, MF4, MF6, MF8, MF11, MF14, MF17, MF19, MF20, MF24, MF25","MF3U, MF13","MF3G, MF10"
CRP0073,Custard Apple,"MF1, MF3L, MF6, MF17, MF19, MF20, MF24, MF25","MF3L, MF13","MF3G, MF10"
CRP0074,Pomegranate,"MF1, MF3L, MF6, MF17, MF19, MF20, MF24, MF25","MF3L, MF13","MF3G, MF10"
CRP0075,Amla (Indian Gooseberry),"MF1, MF3L, MF6, MF17, MF19, MF20, MF24, MF25","MF3L, MF13","MF3G, MF10"
