CropID,Crop,Produces (MF List),Requires (MF List),Suppresses (MF List)
CRP0013,Red Gram,"MF1, MF3L, MF16, MF17, MF18, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3L, MF13","MF2, MF12, MF14"
CRP0014,Black Gram,"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF13","MF2, MF14"
CRP0019,Bengal Gram,"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF11, MF13","MF2, MF6, MF14"
CRP0015,Green Gram,"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF13","MF2, MF14"
CRP0016,Horse Gram,"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF13","MF2, MF6, MF8"
CRP0017,Cowpea,"MF1, MF3L, MF16, MF17, MF18, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3L, MF13","MF2, MF12, MF14"
CRP0018,Broad Beans (Faba Beans) (Vicia faba),"MF1, MF3L, MF16, MF17, MF18, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3L, MF13","MF2, MF12, MF14"
CRP0020,Lentils (Lens culinaris),"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF13","MF2, MF14"
CRP0021,Cluster Bean,"MF3G, MF16, MF17, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3G, MF11, MF13","MF2, MF6, MF14"
CRP0022,Field Bean,"MF1, MF3L, MF16, MF17, MF18, MF19, MF20, MF23, MF24, MF25, MF27, MF28, MF29","MF3L, MF13","MF2, MF12, MF14"
