CropID,Crop,Produces (MF List),Requires (MF List),Suppresses (MF List)
CRP0058,Tomato,"MF1, MF19","MF3G, MF13","MF2, MF12"
CRP0060,Chilli,"MF1, MF19","MF3G, MF13",MF2
CRP0063,Onion,"MF3G, MF16","MF3G, MF13",MF2
CRP0059,Brinjal,"MF1, MF3G, MF19","MF3G, MF13",MF2
CRP0062,Okra,"MF3G, MF19","MF3G, MF13",MF2
CRP0061,Potato,"MF3G, MF16","MF3G, MF13","MF2, MF14"
CRP0064,Elephant Yam,"MF3G, MF8, MF9, MF17","MF3G, MF1, MF6",MF2
CRP0038,Spinach,"MF3G, MF17, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0039,Amaranth,"MF3G, MF17, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0040,Fenugreek,"MF3G, MF17, MF19, MF23, MF24, MF27, MF28, MF29","MF3G, MF13","MF2, MF14"
CRP0041,Lettuce,"MF3G, MF17, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0042,Cabbage,"MF2, MF5, MF9, MF17, MF19","MF3G, MF11","MF13, MF15"
CRP0043,Cauliflower,"MF2, MF5, MF9, MF17, MF19","MF3G, MF11","MF13, MF15"
CRP0045,Curry leaf,"MF1, MF6, MF14, MF17, MF19, MF20, MF24, MF25","MF3L, MF13","MF3G, MF10"
CRP0046,Gogu,"MF3G, MF17, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0047,Drumstick (Moringa),"MF1, MF3U, MF13, MF16, MF19, MF20, MF24, MF25","MF3U, MF13","MF2, MF14"
CRP0048,Bitter Gourd,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0049,Snake Gourd,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0050,Bottle Gourd,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0051,Ridge Gourd,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0052,Pumpkin,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0053,Watermelon,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
CRP0054,Beetroot,"MF3G, MF16, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0055,Radish,"MF3G, MF16, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0056,Carrot,"MF3G, MF16, MF19, MF24","MF3G, MF13","MF2, MF14"
CRP0057,Muskmelon,"MF1, MF17, MF18, MF19, MF20, MF25","MF3G, MF13","MF2, MF14"
