DiseaseID,Disease,CF_TriggerIncites,MF_IncreasesOccurance,MF_DecreasesOccurance
DIS0001,Alternaria Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0002,Alternaria Leaf Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0003,Alternaria Leaf Spot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0004,Anthracnose,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0005,Anthracnose / Fruit Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0006,Ascochyta Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0007,Aster Yellows,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0008,Bacterial Blight,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0009,Bacterial Canker,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0010,Bacterial Leaf Blight,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0011,Bacterial Leaf Spot,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0012,Bacterial Stalk Rot,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0013,Bacterial Stripe,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0014,Bacterial Wilt,"CF14_HighHumidity/LeafWetness, CF16_25-35C, CF11_PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF11_WindBarrier"
DIS0015,Basal Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0016,Big Vein,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0017,Black Arm,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0018,Black Pod,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0019,Black Rot,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0020,Black Rust,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0021,Black Scurf,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0022,Blast,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0023,Blister Blight,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
DIS0024,Blue Mold,"CF14_HighHumidity, CF16_20-30C, CF11_LeafWetness/PoorDrain","MF14_HighHumidity, MF12_AirReduce, MF9_MoistRetain","MF13_AirEnhance, MF10_RapidDry, MF3G_GroundSun"
