Parameter,Paddy,Maize,Jowar,Bajra,Finger Millet,Wheat,Foxtail Millet,Little Millet,Barnyard Millet,Proso Millet,Kodo Millet,Browntop Millet
CropID,CRP0001,CRP0002,CRP0003,CRP0004,CRP0005,CRP0006,CRP0007,CRP0008,CRP0009,CRP0010,CRP0011,CRP0012
Crop Common Name,Paddy (Rice),Maize,Jowar (Sorghum),Bajra (Pearl Millet),Finger Millet (Ragi),Wheat,Foxtail Millet,Little Millet,Barnyard Millet,Proso Millet,Kodo Millet,Browntop Millet
Crop Scientific Name,Oryza sativa,Zea mays L.,Sorghum bicolor,Pennisetum glaucum,Eleusine coracana,Triticum aestivum,Setaria italica,Panicum sumatrense,Echinochloa frumentacea,Panicum miliaceum,Paspalum scrobiculatum,Brachiaria ramosa
Crop Family Name,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae,Poaceae
Crop Functional Group,Cereal / C3 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C3 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant,Cereal / C4 plant
Crop Height Meters (Value),0.5 - 1.5 m,2.0 - 3.0 m,0.5 - 4.0 m,1.5 - 3.0 m,0.6 - 1.2 m,0.6 - 1.2 m,0.6 - 1.5 m,0.3 - 0.9 m,0.5 - 1.5 m,0.3 - 1.2 m,0.6 - 0.9 m,0.6 - 1.2 m
"Crop Height Class (Extra Low: <0.3 m (groundcover, herbs)
Low: 0.3–1.0 m (annuals, small shrubs)
Medium Low: 1.0–3.0 m (bushes, small trees)
Medium: 3.0–8.0 m (medium trees like mango, guava)
Tall: 8.0–20 m (large trees: neem, teak)
Very Tall: >20 m (towering: coconut, tall eucalyptus))",Medium Low,Medium Low,Medium,Medium Low,Medium Low,Medium Low,Medium Low,Low,Medium Low,Medium Low,Low,Medium Low
"Canopy density (Very Sparse: <20% cover
Sparse: 20-40%
Medium: 40-70%
Dense: 70-90%
Very Dense: >90%)",Dense,Medium,Medium,Sparse,Medium,Medium,Medium,Medium,Medium,Sparse,Medium,Medium
Canopy Spread  Meters (Value),0.3 - 0.5 m,0.6 - 1.0 m,0.5 - 0.8 m,0.4 - 0.6 m,0.3 - 0.5 m,0.2 - 0.4 m,0.2 - 0.4 m,0.2 - 0.3 m,0.3 - 0.5 m,0.2 - 0.3 m,0.2 - 0.4 m,0.3 - 0.5 m
"Canopy Spread (Very Narrow: <1 m
Narrow: 1-3 m
Medium: 3-6 m
Wide: 6-10 m
Very Wide: >10 m)",Very Narrow,Narrow,Narrow,Very Narrow,Narrow,Very Narrow,Very Narrow,Very Narrow,Very Narrow,Very Narrow,Very Narrow,Very Narrow
"Growth Habit (Erect, semi-erect, bushy, prostrate, climbing, Trees: Spreading, Weeping, Columnar, Round-headed, Umbrella-shaped)",Erect,Erect,Erect,Erect,Erect,Erect,Erect,Erect,Erect,Erect,Erect,Erect to Semi-erect
"Root Depth Class (Very Shallow: <20 cm
Shallow: 20–50 cm
Medium: 50–100 cm
Deep: 1–3 m
Very Deep: >3 m (deep taproots: teak))",Medium,Medium,Deep,Deep,Medium,Medium,Shallow,Shallow,Medium,Shallow,Medium,Medium
"Root Spread (Narrow: <2 m
Medium: 2–5 m
Wide: 5–10 m
Very Wide: >10 m)",Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow
Growth Duration Days,105 - 150,90 - 120,90 - 120,70 - 100,110 - 140,100 - 140,70 - 90,75 - 100,75 - 95,60 - 80,100 - 120,75 - 90
"Growth Duration Class (Short (<90 days, Medium (90-150 Days), Long (>150 days))",Long,Medium,Medium,Medium,Medium,Medium,Short,Short,Short,Very Short,Medium,Short
Water Demand Value (Numeric (mm/Season/Hectare)),1200 - 2500,500 - 800,450 - 650,250 - 400,350 - 500,450 - 650,250 - 350,200 - 350,300 - 450,200 - 300,300 - 450,250 - 400
"Water Demand class (Low (<400 mm), Medium (400–800 mm), High (800–1200 mm), Very High (>1200 mm))",Very High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Low,Low
Nitrogen Demand Value (Numeric (kg/ha)),100 - 150,120 - 180,80 - 120,60 - 100,40 - 60,120 - 150,40 - 50,20 - 40,40 - 50,20 - 40,20 - 40,20 - 40
"Nitrogen Demand Class (Low, Medium, High)",High,High,Medium,Medium,Low,High,Low,Low,Low,Low,Low,Low
Phosphorus Demand Value (Numeric (kg/ha)),30 - 60,40 - 75,30 - 50,20 - 40,20 - 30,40 - 60,20 - 30,15 - 20,20 - 30,15 - 25,15 - 25,15 - 25
"Phosphorus Demand Class (Low, Medium, High)",Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
Potasium Demand Value (Numeric (kg/ha)),30 - 60,40 - 75,20 - 40,20 - 40,20 - 30,30 - 40,15 - 20,15 - 20,20 - 30,15 - 20,15 - 20,15 - 20
"Potasium Demand Class (Low, Medium, High)",Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Calcium Demand Class (Low, Medium, High)",Medium,Medium,Medium,Low,High,Low,Low,Low,Low,Low,Low,Low
Min pH (Numeric),5,5.5,5.5,5.5,5,6,5.5,5,5,5.5,5,5.5
Max pH (Numeric),7.5,7.5,8.5,8,8,7.5,7.5,8,8,7.5,8.5,7.5
"Preferred Texture (Sand, Sandy Loam, Loam, Clay Loam, Clay)","Clay, Clay Loam","Loam, Sandy Loam","Loam, Sandy Loam","Sandy, Sandy Loam","Sandy Loam, Loam","Loam, Clay Loam","Sandy Loam, Loam","Sandy Loam, Red Soil","Sandy Loam, Loam","Sandy Loam, Loam","Sandy Loam, Clay Loam","Sandy Loam, Loam"
Min Soil Depth (Numeric (cm)),40,60,60,45,40,50,30,30,40,30,40,40
Max Slope (Numeric (%)),5,15,15,20,15,10,10,20,15,15,20,15
"Conducive Slope Class (Steep, moderate, Flat)",Flat,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
All Critical Mineral Names and Their Min Required Conc,"N, P, K, S, Zn, Fe, Mn, Si","N, P, K, Zn, Fe, Mg, S, Ca, B, Cu, Mn","N, P, K, Zn, Fe, Mg","N, P, K, Zn, Fe","N, P, K, Ca, Mg, S","N, P, K, S, Zn, Mn, Cu, B","N, P, K","N, P, K","N, P, K","N, P, K","N, P, K","N, P, K"
Standing Water Requirement (Yes/No),Yes,No,No,No,No,No,No,No,No,No,No,No
"Sensitivity to Nitrogen (Low, Medium, High)",High,High,Medium,Low,Low,High,Low,Low,Low,Low,Low,Low
"Sensitivity to Phosphorus (Low, Medium, High)",High,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Potassium (Low, Medium, High)",High,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low
"Sensitivity to Organic Carbon (Low, Medium, High)",Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to pH (Low, Medium, High)",High,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to EC (Low, Medium, High)",Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Texture (Low, Medium, High)",High,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Depth (Low, Medium, High)",Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Water Holding Capacity (Low, Medium, High)",High,High,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Compaction (Low, Medium, High)",Low,High,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Drainage (Low, Medium, High)",Very High,High,Good,Good,Good,High,Good,Good,Good,Good,Good,Good
"Sensitivity to Erosion (Low, Medium, High)",Low,High,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Groundwater Depth (Low, Medium, High)",Low,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
"Sensitivity to Irrigation (Low, Medium, High)",High,High,Protective,None,Protective,High,None,None,None,None,None,None
"Sensitivity to Rain Relaibility (Low, Medium, High)",High,High,Medium,Low,Medium,High,Low,Low,Low,Low,Low,Low
