Parameter,Tomato,Brinjal,Potato,Okra,Onion,Elephant Yam
CropID,CRP0058,CRP0059,CRP0061,CRP0062,CRP0063,CRP0064
Crop Common Name,Tomato,Brinjal,Potato,Okra,Onion,Elephant Yam
Crop Scientific Name,Solanum lycopersicum,Solanum melongena,Solanum tuberosum,Abelmoschus esculentus,Allium cepa,Amorphophallus paeoniifolius
Crop Family Name,Solanaceae,Solanaceae,Solanaceae,Malvaceae,Amaryllidaceae,Araceae
Crop Functional Group,Vegetable / C3 plant,Vegetable / C3 plant,Tuber Vegetable / C3 plant,Vegetable / C3 plant,Vegetable / C3 plant,Tuber Vegetable / C3 plant
Crop Height Meters (Value),0.6 - 1.5 m,0.6 - 1.2 m,0.4 - 0.6 m,1.0 - 2.0 m,0.3 - 0.6 m,0.6 - 1.5 m
"Crop Height Class (Extra Low: <0.3 m (groundcover, herbs)
Low: 0.3–1.0 m (annuals, small shrubs)
Medium Low: 1.0–3.0 m (bushes, small trees)
Medium: 3.0–8.0 m (medium trees like mango, guava)
Tall: 8.0–20 m (large trees: neem, teak)
Very Tall: >20 m (towering: coconut, tall eucalyptus))",Medium Low,Medium Low,Low,Medium Low,Low,Medium Low
"Canopy density (Very Sparse: <20% cover
Sparse: 20-40%
Medium: 40-70%
Dense: 70-90%
Very Dense: >90%)",Dense,Dense,Very Dense,Medium,Medium,Dense
Canopy Spread  Meters (Value),0.6 - 1.0 m,0.6 - 0.9 m,0.4 - 0.6 m,0.5 - 0.8 m,0.1 - 0.2 m,0.5 - 1.0 m
"Canopy Spread (Very Narrow: <1 m
Narrow: 1-3 m
Medium: 3-6 m
Wide: 6-10 m
Very Wide: >10 m)",Narrow,Narrow,Narrow,Narrow,Very Narrow,Narrow
"Growth Habit (Erect, semi-erect, bushy, prostrate, climbing, Trees: Spreading, Weeping, Columnar, Round-headed, Umbrella-shaped)",Erect / Bushy,Erect / Bushy,Erect / Bushy,Erect,Erect,Erect
"Root Depth Class (Very Shallow: <20 cm
Shallow: 20–50 cm
Medium: 50–100 cm
Deep: 1–3 m
Very Deep: >3 m (deep taproots: teak))",Medium,Medium,Shallow (Tuber),Medium,Shallow (Bulb),Shallow (Corm)
"Root Spread (Narrow: <2 m
Medium: 2–5 m
Wide: 5–10 m
Very Wide: >10 m)",Narrow,Narrow,Narrow,Narrow,Narrow,Narrow
Growth Duration Days,100 - 150,120 - 180,90 - 120,90 - 120,120 - 160,210 - 240
"Growth Duration Class (Short (<90 days, Medium (90-150 Days), Long (>150 days))",Medium,Long,Medium,Medium,Medium,Long
Water Demand Value (Numeric (mm/Season/Hectare)),600 - 800,600 - 1000,450 - 600,500 - 700,400 - 600,1000 - 1500
"Water Demand class (Low (<400 mm), Medium (400–800 mm), High (800–1200 mm), Very High (>1200 mm))",Medium,High,Medium,Medium,Medium,High
Nitrogen Demand Value (Numeric (kg/ha)),100 - 120,100 - 150,120 - 150,80 - 100,100 - 120,80 - 120
"Nitrogen Demand Class (Low, Medium, High)",High,High,High,High,High,High
Phosphorus Demand Value (Numeric (kg/ha)),60 - 80,60 - 80,80 - 100,50 - 60,60 - 80,60 - 80
"Phosphorus Demand Class (Low, Medium, High)",High,High,High,Medium,High,High
Potasium Demand Value (Numeric (kg/ha)),60 - 80,40 - 60,100 - 120,40 - 60,60 - 80,80 - 100
"Potasium Demand Class (Low, Medium, High)",High,Medium,High,Medium,High,High
"Calcium Demand Class (Low, Medium, High)",Medium,Medium,Medium,Medium,Low,High
Min pH (Numeric),6,5.5,5,6,6,5.5
Max pH (Numeric),7,7,6.5,7.5,7.5,7
"Preferred Texture (Sand, Sandy Loam, Loam, Clay Loam, Clay)","Loam, Sandy Loam","Loam, Clay Loam","Sandy Loam, Loam","Loam, Sandy Loam","Loam, Sandy Loam","Sandy Loam, Loam"
Min Soil Depth (Numeric (cm)),45,45,45,60,45,60
Max Slope (Numeric (%)),10,10,10,15,10,20
"Conducive Slope Class (Steep, moderate, Flat)",Moderate,Moderate,Flat,Moderate,Flat,Moderate
All Critical Mineral Names and Their Min Required Conc,"N, P, K, Ca, Mg, S, Zn, B","N, P, K, S, Mg, Zn","N, P, K, Mg, S, Mn, Zn, B","N, P, K, S, Mg, Zn","N, P, K, S, Zn, B","N, P, K, Mg, Fe"
Standing Water Requirement (Yes/No),No,No,No,No,No,No
"Sensitivity to Nitrogen (Low, Medium, High)",High,High,High,High,High,Medium
"Sensitivity to Phosphorus (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Potassium (Low, Medium, High)",Medium,Medium,Low,Medium,Low,High
"Sensitivity to Organic Carbon (Low, Medium, High)",Medium,Medium,High,Medium,Medium,High
"Sensitivity to pH (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to EC (Low, Medium, High)",Medium,Medium,Medium,Medium,Medium,Medium
"Sensitivity to Texture (Low, Medium, High)",Medium,Medium,High,Medium,Medium,High
"Sensitivity to Depth (Low, Medium, High)",Medium,Medium,High,Medium,Medium,High
"Sensitivity to Water Holding Capacity (Low, Medium, High)",High,High,High,High,Medium,High
"Sensitivity to Compaction (Low, Medium, High)",High,High,High,High,Medium,High
