Parameter,Bitter Gourd,Snake Gourd,Bottle Gourd,Ridge Gourd,Pumpkin,Watermelon,Muskmelon,Beetroot,Radish,Carrot
Crop Common Name,Bitter Gourd,Snake Gourd,Bottle Gourd,Ridge Gourd,Pumpkin,Watermelon,Muskmelon,Beetroot,Radish,Carrot
Crop Scientific Name,Momordica charantia,Trichosanthes cucumerina,Lagenaria siceraria,Luffa acutangula,Cucurbita moschata,Citrullus lanatus,Cucumis melo,Beta vulgaris,Raphanus sativus,Daucus carota
Crop Family Name,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Cucurbitaceae,Amaranthaceae,Brassicaceae,Apiaceae
Crop Functional Group,Vegetable / C3 plant,Vegetable / C3 plant,Vegetable / C3 plant,Vegetable / C3 plant,Vegetable / C3 plant,Fruit Vegetable / C3 plant,Fruit Vegetable / C3 plant,Root Vegetable / C3 plant,Root Vegetable / C3 plant,Root Vegetable / C3 plant
Crop Height Meters (Value),2.0 - 4.0 m (vine),3.0 - 6.0 m (vine),3.0 - 8.0 m (vine),3.0 - 5.0 m (vine),0.4 - 0.6 m (vine length 5-10m),0.3 - 0.5 m,0.3 - 0.5 m,0.3 - 0.5 m,0.2 - 0.4 m,0.3 - 0.5 m
"Crop Height Class (Extra Low: <0.3 m (groundcover, herbs)
Low: 0.3–1.0 m (annuals, small shrubs)
Medium Low: 1.0–3.0 m (bushes, small trees)
Medium: 3.0–8.0 m (medium trees like mango, guava)
Tall: 8.0–20 m (large trees: neem, teak)
Very Tall: >20 m (towering: coconut, tall eucalyptus))",Low to Medium Low,Medium Low,Medium Low to Medium,Medium Low,Low (prostrate),Low (prostrate),Low (prostrate),Low,Extra Low to Low,Low
"Canopy density (Very Sparse: <20% cover
Sparse: 20-40%
Medium: 40-70%
Dense: 70-90%
Very Dense: >90%)",Dense,Dense,Very Dense,Dense,Very Dense,Dense,Dense,Dense,Dense,Dense
Canopy Spread  Meters (Value),1.0 - 2.0 m,1.5 - 2.5 m,2.0 - 4.0 m,1.5 - 3.0 m,4.0 - 8.0 m,2.0 - 5.0 m,1.5 - 3.0 m,0.2 - 0.3 m,0.2 - 0.3 m,0.2 - 0.4 m
"Canopy Spread (Very Narrow: <1 m
Narrow: 1-3 m
Medium: 3-6 m
Wide: 6-10 m
Very Wide: >10 m)",Narrow,Narrow,Narrow,Narrow,Wide,Medium,Medium,Very Narrow,Very Narrow,Very Narrow
"Growth Habit (Erect, semi-erect, bushy, prostrate, climbing, Trees: Spreading, Weeping, Columnar, Round-headed, Umbrella-shaped)",Climbing,Climbing,Climbing / Spreading,Climbing,Prostrate / Spreading,Prostrate / Spreading,Prostrate / Spreading,Erect / Rosette,Erect / Rosette,Erect / Rosette
"Root Depth Class (Very Shallow: <20 cm
Shallow: 20–50 cm
Medium: 50–100 cm
Deep: 1–3 m
Very Deep: >3 m (deep taproots: teak))",Medium,Medium,Medium,Medium,Medium,Medium,Medium,Shallow (Root),Shallow (Root),Shallow (Root)
"Root Spread (Narrow: <2 m
Medium: 2–5 m
Wide: 5–10 m
Very Wide: >10 m)",Narrow,Narrow,Narrow,Narrow,Wide,Medium,Medium,Narrow,Narrow,Narrow
Growth Duration Days,90 - 120,120 - 150,100 - 130,90 - 110,120 - 150,80 - 110,80 - 100,70 - 90,30 - 60,90 - 120
"Growth Duration Class (Short (<90 days, Medium (90-150 Days), Long (>150 days))",Medium,Medium,Medium,Medium,Medium,Short,Short,Short,Very Short,Medium
