CropID,Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
CRP0001,Rice,P,P,P,H,S,H
CRP0002,Maize,H,M,M,H,M,H
CRP0003,Jowar,M,M,M,M,H,S
CRP0004,Bajra,M,M,M,S,P,M
CRP0005,Ragi (Finger Millet),H,M,M,H,P,P
CRP0006,Wheat,T,T,T,T,T,U
CRP0007,Foxtail Millet,S,S,S,M,H,M
CRP0008,Little Millet (Samalu),H,M,M,H,P,P
CRP0009,Barnyard Millet (Udalu),H,M,M,H,P,P
CRP0010,Proso Millet (Varigalu),H,M,M,H,P,P
CRP0011,Kodo Millet (Paspalum scrobiculatum),H,M,M,H,P,P
CRP0012,Browntop Millet (Urochloa ramosa / Brachiaria ramosa),H,M,M,H,P,P
CRP0013,Redgram,M,M,M,M,H,M
CRP0014,Blackgram,P,M,M,M,S,M
CRP0015,Greengram,H,M,M,M,M,S
CRP0016,Horse Gram,H,M,M,H,P,P
CRP0017,Cowpea,H,M,H,P,P,M
CRP0018,Broad Beans (Faba Beans) (Vicia faba),H,M,H,P,P,M
CRP0019,Chickpeas (Garbanzo Beans) (Cicer arietinum),T,T,T,T,T,U
CRP0020,Lentils (Lens culinaris),T,T,T,T,T,U
CRP0021,Cluster Beans,S,M,M,M,H,S
CRP0021,Guar (Clusterbean Fodder),M,M,M,M,H,M
CRP0022,Field Bean,H,M,H,P,P,M
CRP0023,Groundnut,M,H,H,M,M,U
CRP0024,Sunflower,S,M,M,H,M,U
CRP0025,Castor,U,M,M,H,M,U
CRP0026,Mustard,T,T,T,T,T,U
CRP0027,Oil Palm,P,P,H,M,T,T
CRP0028,Sesame,H,M,M,M,M,S
CRP0029,Cotton,S,M,M,M,P,U
CRP0030,Sugarcane,S,P,P,H,U,U
CRP0031,Turmeric,S,M,M,H,U,P
CRP0032,Ginger,M,H,H,H,S,H
CRP0033,Garlic,S,M,M,M,M,S
CRP0034,Chilli (Commercial),H,P,P,H,S,S
CRP0035,Napier Grass,T,T,T,T,T,T
CRP0036,Hedge Lucerne (Desmanthus),H,H,H,P,H,H
CRP0037,Stylo (Stylo hamata),M,M,M,M,H,M
CRP0037,Stylosanthes,H,H,H,P,H,H
CRP0038,Spinach,H,P,P,H,M,H
CRP0039,Green Amaranth,H,H,H,H,M,M
CRP0039,Amaranth,H,P,P,H,M,H
CRP0040,Fenugreek Leaves,M,M,M,M,M,M
CRP0041,Lettuce,H,P,P,H,M,H
CRP0042,Cabbage,S,S,S,S,S,P
CRP0043,Cauliflower,S,S,S,S,S,P
CRP0044,Coriander,H,P,P,H,M,H
CRP0045,Curry leaf,H,P,P,H,M,H
CRP0046,Gogu,H,P,P,H,M,H
CRP0047,Drumstick (Moringa),H,P,P,H,M,H
CRP0048,Bitter Gourd,M,M,M,S,S,M
CRP0049,Snake Gourd,H,P,P,H,M,H
CRP0050,Bottle Gourd,H,P,P,H,M,H
CRP0051,Ridge Gourd,M,M,M,M,S,S
CRP0052,Pumpkin,H,P,P,H,M,H
CRP0053,Watermelon,H,P,P,H,M,H
CRP0054,Beetroot,S,S,S,S,S,P
CRP0055,Radish,S,S,S,S,S,P
CRP0056,Carrot,S,S,S,S,S,P
CRP0057,Muskmelon,H,P,P,H,M,H
CRP0058,Tomato,H,H,M,M,S,M
CRP0059,Brinjal,H,H,M,M,M,M
CRP0060,Chillies,M,H,H,H,S,M
CRP0061,Potato,S,S,S,S,S,P
CRP0062,Okra,H,H,M,M,M,M
CRP0063,Onion,H,P,P,H,S,S
CRP0064,Elephant Yam,H,P,P,H,S,S
CRP0065,Mango,P,P,H,H,M,M
CRP0066,Citrus,P,P,H,H,M,M
CRP0067,Guava,P,P,H,H,M,M
CRP0068,Papaya,P,P,H,H,M,M
CRP0069,Coconut,P,P,H,M,T,T
CRP0070,Cashew,P,P,H,M,T,T
CRP0071,Banana,H,P,P,H,S,S
CRP0072,Jackfruit,P,P,H,H,M,M
CRP0073,Custard Apple,H,H,H,H,P,H
CRP0074,Pomegranate,H,H,H,H,P,H
CRP0075,Amla (Indian Gooseberry),H,H,H,H,P,H
CRP0076,Areca Nut,M,M,T,T,T,P
CRP0077,Cocoa,M,M,T,T,T,P
CRP0078,Coffee,M,M,T,T,T,P
CRP0079,Tea,M,M,T,T,T,P
CRP0080,Pepper,M,M,T,T,T,P
CRP0081,cloves,M,M,T,T,T,P
CRP0082,Betel Leaf,M,H,H,T,T,P
CRP0083,Cardamom,M,M,T,T,T,P
CRP0084,Ashwagandha,M,M,M,H,P,S
CRP0085,Tulsi (Basil),H,H,H,H,M,H
CRP0085,Tulsi (Holy Basil),H,H,H,H,M,H
CRP0086,Neem,P,H,H,P,H,P
CRP0087,Vetiver,P,H,H,P,H,P
CRP0088,Marigold,H,P,P,H,M,M
CRP0089,Chrysanthemum,M,P,P,P,M,M
CRP0090,Rose,M,P,P,P,M,M
CRP0091,Crossandra,M,H,H,P,M,S
CRP0092,Tuberose (Sugandhiraja),M,P,P,P,M,M
CRP0093,Gaillardia (Blanket Flower),M,P,P,P,M,M
CRP0094,Cock's Comb (Celosia),M,P,P,P,M,M
CRP0095,Aster,M,H,H,H,M,M
CRP0095,China Aster,M,P,P,P,M,M
CRP0096,Lotus,M,P,P,M,M,M
CRP0097,Teak,P,H,H,P,H,P
CRP0099,Pongamia (Kanuga),P,H,H,P,H,P
CRP0100,Tamarind,P,H,H,P,H,P
CRP0101,Indian Rosewood (Sheesham),P,H,H,P,H,P
CRP0102,Gliricidia,P,H,H,P,H,P
CRP0103,Silver Oak (Grevillea),P,H,H,P,H,P
CRP0104,Bamboo,P,H,H,P,H,P
CRP0105,Sesbania,P,H,H,P,H,P
CRP0106,Calliandra,P,H,H,P,H,P
CRP0107,Vitex (Lagundi),P,H,H,P,H,P
,Tobacco,U,P,P,U,U,U
