CropID,Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
CRP0001,Paddy/Rice,T,T,T,T,T,T
CRP0002,Maize,T,T,T,T,T,T
CRP0003,Jowar (Sorghum),T,T,T,T,T,T
CRP0004,Bajra (Pearl Millet),T,T,T,T,T,T
CRP0005,Ragi (Finger Millet),T,T,T,T,T,T
CRP0006,Wheat,T,T,T,T,T,T
CRP0007,Foxtail Millet (Korralu),T,T,T,T,T,T
CRP0008,Little Millet (Samalu),T,T,T,T,T,T
CRP0009,Barnyard Millet (Udalu),T,T,T,T,T,T
CRP0010,Proso Millet (Varigalu),T,T,T,T,T,T
CRP0011,Kodo Millet (Paspalum scrobiculatum),T,T,T,T,T,T
CRP0012,Browntop Millet (Urochloa ramosa / Brachiaria ramosa),T,T,T,T,T,T
CRP0013,Red Gram (Pigeon Pea),T,T,T,T,T,T
CRP0014,Black Gram (Urad),T,T,T,T,T,T
CRP0015,Green Gram (Moong),T,T,T,T,T,T
CRP0016,Horse Gram,T,T,T,T,T,T
CRP0017,Cowpea,T,T,T,T,T,T
CRP0018,Broad Beans (Faba Beans) (Vicia faba),T,T,T,T,T,T
CRP0019,Chickpeas (Garbanzo Beans) (Cicer arietinum),T,T,T,T,T,T
CRP0020,Lentils (Lens culinaris),T,T,T,T,T,T
CRP0021,Cluster Bean,T,T,T,T,T,T
CRP0022,Field Bean,T,T,T,T,T,T
CRP0023,Groundnut,T,T,T,T,T,T
CRP0024,Sunflower,T,T,T,T,T,T
CRP0025,Castor,T,T,T,T,T,T
CRP0026,Mustard,T,T,T,T,T,T
CRP0027,Oil Palm,M,P,H,M,U,U
CRP0028,Sesame,T,T,T,T,T,T
CRP0029,Cotton,T,T,T,T,T,T
CRP0030,Sugarcane,T,T,T,T,T,T
CRP0031,Turmeric,T,T,T,T,T,T
CRP0032,Ginger,T,T,T,T,T,T
CRP0033,Garlic,T,T,T,T,T,T
CRP0034,Chilli (Commercial),T,T,T,T,T,T
CRP0035,Napier Grass,H,P,P,H,S,H
CRP0036,Hedge Lucerne (Desmanthus),H,H,M,P,P,H
CRP0037,Stylosanthes,H,H,M,P,P,H
CRP0038,Spinach,T,T,T,T,T,T
CRP0039,Amaranth,T,T,T,T,T,T
CRP0040,Fenugreek,T,T,T,T,T,T
CRP0041,Lettuce,T,T,T,T,T,T
CRP0042,Cabbage,T,T,T,T,T,T
CRP0043,Cauliflower,T,T,T,T,T,T
CRP0044,Coriander,T,T,T,T,T,T
CRP0045,Curry Leaf,P,P,H,H,M,M
CRP0046,Gogu,T,T,T,T,T,T
CRP0047,Moringa,H,H,H,P,H,M
CRP0048,Bitter Gourd,T,T,T,T,T,T
CRP0049,Snake Gourd,T,T,T,T,T,T
CRP0050,Bottle Gourd,T,T,T,T,T,T
CRP0051,Ridge Gourd,T,T,T,T,T,T
CRP0052,Pumpkin,T,T,T,T,T,T
CRP0053,Watermelon,T,T,T,T,T,T
CRP0054,Beetroot,T,T,T,T,T,T
CRP0055,Radish,T,T,T,T,T,T
CRP0056,Carrot,T,T,T,T,T,T
CRP0057,Muskmelon,T,T,T,T,T,T
CRP0058,Tomato,T,T,T,T,T,T
CRP0059,Brinjal (Eggplant),T,T,T,T,T,T
CRP0060,Chilli,T,T,T,T,T,T
CRP0061,Potato,T,T,T,T,T,T
CRP0062,Okra,T,T,T,T,T,T
CRP0063,Onion,T,T,T,T,T,T
CRP0064,Elephant Yam,T,T,T,T,T,T
CRP0065,Mango,H,P,P,P,H,M
CRP0066,Citrus,H,H,H,H,M,M
CRP0067,Guava,M,H,H,H,M,M
CRP0068,Papaya,M,P,H,H,S,U
CRP0069,Coconut,P,P,H,H,U,U
CRP0070,Cashew,P,H,M,H,U,M
CRP0071,Banana,H,P,P,H,U,U
CRP0072,Jackfruit,H,H,H,H,M,H
CRP0073,Custard Apple,M,M,M,H,H,S
CRP0074,Pomegranate,U,S,M,H,P,U
CRP0075,Amla,H,H,H,P,H,M
CRP0076,Arecanut,M,M,S,S,U,H
CRP0077,Cocoa,U,U,U,U,U,M
CRP0078,Coffee (Arabica),U,U,U,U,U,P
CRP0078,Coffee (Robusta),S,S,U,U,U,H
CRP0079,Tea,U,T,T,U,T,P
CRP0080,Black Pepper,S,S,U,U,U,P
CRP0081,Cloves,U,T,T,U,T,P
CRP0082,Betel Vine,H,P,H,M,S,S
CRP0083,Cardamom,U,U,U,U,U,P
CRP0084,Ashwagandha,T,T,T,T,T,T
CRP0085,Tulsi (Holy Basil),T,T,T,T,T,T
CRP0086,Neem,P,P,P,P,P,M
CRP0087,Vetiver (Perennial grass),P,H,H,P,P,P
CRP0088,Marigold(African/French),T,T,T,T,T,T
CRP0089,Chrysanthemum,T,T,T,T,T,T
CRP0090,Rose,H,P,P,H,M,H
CRP0091,Crossandra (Kanakambaram),T,T,T,T,T,T
CRP0092,Tuberose,H,P,P,H,M,S
CRP0093,Gaillardia (Blanket Flower),T,T,T,T,T,T
CRP0094,Cock's Comb (Celosia),T,T,T,T,T,T
CRP0095,China Aster,T,T,T,T,T,T
CRP0096,Lotus,T,T,T,T,T,T
CRP0097,Teak,H,H,M,H,M,P
CRP0098,Neem,T,T,T,T,T,T
CRP0099,Pongamia (Kanuga),H,M,M,H,P,P
CRP0100,Tamarind,M,H,H,H,H,S
CRP0101,Indian Rosewood (Sheesham),P,H,H,P,H,P
CRP0102,Gliricidia,H,P,P,H,M,H
CRP0103,Silver Oak,M,M,M,H,M,H
CRP0104,Banmboo,M,M,M,M,M,P
CRP0105,Sesbania (Can be perennial depending on species),H,P,P,H,H,H
CRP0106,Calliandra,H,H,M,H,S,P
CRP0107,Vitex (Lagundi),P,H,H,P,H,P
,Sapota,M,M,M,P,M,U
,Grapes,U,S,M,H,P,U
,Pineapple,M,M,M,S,U,S
,Jamun,M,M,M,H,M,M
,Ber,S,M,M,H,P,S
,Avocado,S,S,M,M,S,H
,Litchi,U,U,U,S,U,H
,Dragon Fruit,M,M,H,H,H,S
,Rubber,U,U,U,U,U,S
,Jasmine,P,P,H,H,M,S
,Gerbera,M,H,H,P,M,M
,Carnation,S,M,M,H,S,H
,Gladiolus,M,H,H,H,M,M
,Lily,M,H,H,H,M,M
,Anthurium,M,M,M,H,S,M
,Orchids,M,M,M,M,U,H
,Hibiscus,H,H,H,P,M,M
,Bougainvillea,H,H,H,P,H,M
,Mint,H,H,H,H,M,H
,Lemongrass,M,H,H,H,M,M
,Oregano,M,M,M,H,M,H
,Thyme,S,M,M,M,S,H
,Rosemary,S,M,M,M,S,H
,Bay Leaf,M,M,M,H,M,M
,Sage,S,M,M,M,S,H
,Ajwain,M,M,M,H,H,M
,Guduchi (Giloy),M,M,M,H,M,H
,Sarpagandha,M,M,M,H,M,M
,Long Pepper,M,M,M,M,S,H
,Punarnava,M,M,M,H,M,M
,Eucaplyptus,H,H,H,H,P,M
,Casuarina,P,H,H,M,S,U
,Melia dubia,H,H,H,H,H,M
,Acacia,M,M,M,H,P,M
,Gmelina,M,M,M,H,M,M
,Red Sanders,U,U,U,P,P,U
