CropID,Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
CRP0001,Rice,H,P,P,M,S,M
CRP0002,Maize,M,M,M,M,S,S
CRP0003,Jowar,H,M,M,M,H,S
,,,,,,,
CRP0004,Bajra,H,M,M,S,P,M
,,,,,,,
CRP0005,Ragi (Finger Millet),H,M,M,H,P,H
CRP0006,Wheat,U,S,S,U,S,P
CRP0007,Foxtail Millet (Korralu),H,M,M,H,P,H
CRP0008,Little Millet (Samalu),H,M,M,H,P,H
CRP0009,Barnyard Millet (Udalu),H,M,M,H,P,H
CRP0010,Proso Millet (Varigalu),H,M,M,H,P,H
CRP0011,Kodo Millet (Paspalum scrobiculatum),H,M,M,H,P,H
CRP0012,Browntop Millet (Urochloa ramosa / Brachiaria ramosa),H,M,M,H,P,H
CRP0013,Redgram,S,S,S,M,M,S
CRP0014,Blackgram,M,M,M,M,S,M
CRP0015,Greengram,M,M,M,M,M,S
CRP0016,Horse Gram,H,M,M,H,P,H
CRP0017,Cowpea (Fodder Residual),M,M,M,M,M,S
CRP0017,Cowpea,H,M,M,H,H,M
CRP0018,Broad Beans (Faba Beans) (Vicia faba),H,M,M,H,H,M
CRP0019,Bengal Gram,U,S,S,M,P,U
CRP0020,Lentils (Lens culinaris),H,M,M,H,H,M
CRP0021,Cluster Bean,H,M,M,H,H,M
CRP0022,Field Bean,H,M,M,H,H,M
CRP0023,Groundnut,H,H,H,H,M,U
CRP0024,Sunflower,M,H,H,P,H,U
CRP0025,Castor,U,M,M,H,H,U
CRP0026,Mustard,U,S,S,U,S,P
CRP0027,Oil Palm,M,P,P,M,M,M
CRP0028,Sesame,M,M,M,M,M,S
CRP0029,Cotton (Late),M,S,S,M,H,U
CRP0030,Sugarcane,M,P,P,M,T,M
CRP0031,Turmeric (Late),M,H,H,P,S,H
CRP0032,Ginger,M,P,P,M,M,M
CRP0033,Garlic,M,M,M,H,M,S
CRP0034,Chilli (Commercial),M,P,P,M,M,M
CRP0035,Hybrid Napier (Perennial cuts),M,H,H,H,H,M
CRP0035,Napier Grass,M,M,M,M,H,M
CRP0036,Hedge Lucerne (Desmanthus),M,M,M,M,H,M
CRP0037,Stylosanthes,M,M,M,M,H,M
CRP0038,Spinach,H,P,P,H,M,M
CRP0039,Amaranth,H,P,P,H,M,M
CRP0040,Fenugreek,M,M,M,H,H,S
CRP0040,Fenugreek Leaves,H,H,H,H,H,M
CRP0041,Lettuce,H,P,P,H,M,M
CRP0042,Cabbage,M,M,M,M,S,H
CRP0043,Cauliflower,M,M,M,M,S,H
CRP0044,Coriander,H,P,P,H,M,M
CRP0045,Curry leaf,M,M,M,M,M,M
CRP0046,Gogu,H,P,P,H,M,M
CRP0047,Drumstick (Moringa),M,M,M,M,M,M
CRP0048,Bitter Gourd,M,M,M,M,M,M
CRP0049,Snake Gourd,M,M,M,M,M,M
CRP0050,Bottle Gourd,M,M,M,M,M,M
CRP0051,Ridge Gourd,M,M,M,M,M,M
CRP0052,Pumpkin,M,M,M,M,M,M
CRP0053,Watermelon,M,M,M,M,M,M
CRP0054,Beetroot,M,M,M,H,M,M
CRP0055,Radish,H,H,H,H,M,H
CRP0056,Carrot,M,M,M,H,M,M
CRP0057,Muskmelon,M,M,M,M,M,M
CRP0058,Tomato,H,H,H,H,M,M
CRP0059,Brinjal,H,H,H,H,M,M
CRP0060,Chillies,H,P,P,H,M,M
CRP0061,Potato,M,H,H,M,M,P
CRP0062,Okra,M,P,P,M,M,M
CRP0063,Onion,M,H,H,H,M,S
CRP0064,Elephant Yam,M,P,P,M,M,M
CRP0065,Mango,P,H,H,P,M,H
CRP0066,Citrus,P,H,H,P,M,H
CRP0067,Guava,P,H,H,P,M,H
CRP0068,Papaya,P,H,H,P,M,H
CRP0069,Coconut,P,H,H,P,M,H
CRP0070,Cashew,P,H,H,P,M,H
CRP0071,Banana,P,H,H,P,M,H
CRP0072,Jackfruit,P,H,H,P,M,H
CRP0073,Custard Apple,P,H,H,P,M,H
CRP0074,Pomegranate,P,H,H,P,P,H
CRP0075,Amla (Indian Gooseberry),P,H,H,P,P,H
CRP0076,Areca Nut,M,M,M,M,T,P
CRP0077,Cocoa,M,M,M,M,T,P
CRP0078,Coffee,M,M,M,M,T,P
CRP0079,Tea,M,M,M,M,T,P
CRP0080,Pepper,M,M,M,M,T,P
CRP0081,cloves,M,M,M,M,T,P
CRP0082,Betel Leaf,M,M,M,M,T,P
CRP0083,Cardamom,M,M,M,M,T,P
CRP0084,Ashwagandha,H,H,H,P,P,M
CRP0085,Tulsi (Holy Basil),M,M,M,M,M,M
CRP0086,Neem,P,H,H,P,M,H
CRP0087,Vetiver,P,H,H,P,M,H
CRP0088,Marigold,H,P,P,H,M,M
CRP0089,Chrysanthemum,H,P,P,H,M,H
CRP0090,Rose,H,P,P,H,M,M
CRP0091,Crossandra (Kanakambaram),M,M,M,M,M,M
CRP0092,Tuberose (Sugandhiraja),H,P,P,H,M,M
CRP0093,Gaillardia (Blanket Flower),H,P,P,H,M,M
CRP0094,Cock's Comb (Celosia),H,P,P,H,M,M
CRP0095,China Aster,H,P,P,H,M,M
CRP0096,Lotus,M,M,M,M,M,M
CRP0097,Teak,P,H,H,P,M,H
CRP0098,Neem,T,T,T,T,T,T
CRP0099,Pongamia (Kanuga),P,H,H,P,M,H
CRP0100,Tamarind,P,H,H,P,M,H
CRP0101,Indian Rosewood (Sheesham),P,H,H,P,M,H
CRP0102,Gliricidia,P,H,H,P,M,H
CRP0103,Silver Oak (Grevillea),P,H,H,P,M,H
CRP0104,Bamboo,P,H,H,P,M,H
CRP0105,Sesbania,P,H,H,P,M,H
CRP0106,Calliandra,P,H,H,P,M,H
CRP0107,Vitex (Lagundi),P,H,H,P,M,H
,Safflower,U,S,M,M,H,U
,Peas,S,M,M,M,S,H
,Beans,M,M,M,H,S,H
,Sun Hemp,S,S,S,S,S,U
,Cumin,S,M,M,M,H,U
,Calendula,M,M,M,H,M,H
,Petunia,M,H,H,H,M,H
,Pansy,S,M,M,H,M,H
,Dianthus,M,H,H,H,M,M
,Verbena,M,H,H,H,S,M
,Phlox,M,H,H,H,S,M
,Antirrhinum,M,H,H,H,M,M
,Dill,M,M,M,H,M,M
,Parsley,M,M,M,H,M,M
,Celery,S,M,M,M,S,M
,Spring Onion,M,H,H,H,M,M
,Mint,H,H,H,H,M,H
,Rosemary,S,M,M,M,S,H
,Isabgol,S,M,M,M,H,U
,Safed Musli,M,M,M,H,M,M
,Shatavari,M,M,M,H,M,M
,Giloy,M,M,M,H,M,H
,Kalmegh,M,M,M,M,M,S
,Berseem (Egyptian Clover),S,M,M,M,M,H
,Lucerne (Alfalfa),S,M,M,M,M,H
,Oats (Fodder),S,M,M,M,M,H
,Fodder Maize (Winter),S,M,M,M,M,S
,Guinea Grass (Perennial cuts),M,M,M,M,M,M
