Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
Rice,P,P,P,H,S,H
Maize,H,M,M,H,M,H
Jowar,M,M,M,M,H,S
Bajra,M,M,M,S,P,M
Foxtail Millet,S,S,S,M,H,M
Groundnut,M,H,H,M,M,U
Cotton,S,M,M,M,P,U
Sugarcane,S,P,P,H,U,U
Redgram,M,M,M,M,H,M
Greengram,H,M,M,M,M,S
Blackgram,P,M,M,M,S,M
Sesame,H,M,M,M,M,S
Castor,U,M,M,H,M,U
Sunflower,S,M,M,H,M,U
Chillies,M,H,H,H,S,M
Turmeric,S,M,M,H,U,P
Tobacco,U,P,P,U,U,U
Tomato,H,H,M,M,S,M
Brinjal,H,H,M,M,M,M
Okra,H,H,M,M,M,M
Cucumber,M,M,M,S,S,S
Bitter Gourd,M,M,M,S,S,M
Ridge Gourd,M,M,M,M,S,S
Cluster Beans,S,M,M,M,H,S
Green Leafy Veg,H,M,M,M,S,M
Jute,P,H,S,U,U,U
Mesta,H,M,S,U,U,U
Sun Hemp,H,M,M,U,U,U
Ginger,M,H,H,H,S,H
Garlic,S,M,M,M,M,S
Marigold,H,P,P,H,M,M
Crossandra,M,H,H,P,M,S
Balsam,M,M,M,M,S,H
Zinnia,M,M,M,H,M,H
Cosmos,M,M,M,M,S,H
Aster,M,H,H,H,M,M
Tulsi (Basil),H,H,H,H,M,H
Mint,P,H,H,H,M,H
Green Amaranth,H,H,H,H,M,M
Fenugreek Leaves,M,M,M,M,M,M
Dill,M,M,M,M,S,M
Lemongrass,M,H,H,H,M,M
Ashwagandha,M,M,M,H,P,S
Tulsi (Holy Basil),H,H,H,H,M,H
Brahmi,H,H,H,M,S,M
Coleus,M,H,H,H,M,M
Kalmegh,M,M,M,M,S,S
Stevia,M,M,M,H,M,M
Aloe Vera,H,H,H,P,H,S
Senna,M,M,M,H,H,S
,,,,,,
,,,,,,
Fodder Sorghum (Jowar),H,H,H,H,P,H
Napier–Bajra Hybrid,M,H,H,H,H,M
Fodder Bajra (Pearl Millet),M,M,M,M,P,M
Maize (Fodder),H,H,H,H,H,M
Cowpea (Fodder),H,H,H,H,H,M
Guar (Clusterbean Fodder),M,M,M,M,H,M
Stylo (Stylo hamata),M,M,M,M,H,M
Guinea Grass,M,M,M,H,M,M
