Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
Black Pepper,S,S,U,U,U,P
Cardamom,U,U,U,U,U,P
Tamarind,M,H,H,H,H,S
Mango,H,P,P,P,H,M
Banana,H,P,P,H,U,U
Citrus,H,H,H,H,M,M
Sapota,M,M,M,P,M,U
Papaya,M,P,H,H,S,U
Guava,M,H,H,H,M,M
Pomegranate,U,S,M,H,P,U
Grapes,U,S,M,H,P,U
Custard Apple,M,M,M,H,H,S
Jackfruit,H,H,H,H,M,H
Pineapple,M,M,M,S,U,S
Amla,M,M,M,H,H,M
Tamarind,M,H,H,H,H,S
Jamun,M,M,M,H,M,M
Ber,S,M,M,H,P,S
Avocado,S,S,M,M,S,H
Litchi,U,U,U,S,U,H
Dragon Fruit,M,M,H,H,H,S
Coconut,P,P,H,H,U,U
Oil Palm,M,P,H,M,U,U
Cashew,P,H,M,H,U,M
Arecanut,M,M,S,S,U,H
Coffee (Arabica),U,U,U,U,U,P
Coffee (Robusta),S,S,U,U,U,H
Black Pepper,S,S,U,U,U,P
Cocoa,U,U,U,U,U,M
Rubber,U,U,U,U,U,S
Rose,H,P,P,H,M,H
Jasmine,P,P,H,H,M,S
Tuberose,H,P,P,H,M,S
Gerbera,M,H,H,P,M,M
Carnation,S,M,M,H,S,H
Gladiolus,M,H,H,H,M,M
Lily,M,H,H,H,M,M
Anthurium,M,M,M,H,S,M
Orchids,M,M,M,M,U,H
Hibiscus,H,H,H,P,M,M
Bougainvillea,H,H,H,P,H,M
Curry Leaf,P,P,H,H,M,M
Mint,H,H,H,H,M,H
Lemongrass,M,H,H,H,M,M
Oregano,M,M,M,H,M,H
Thyme,S,M,M,M,S,H
Rosemary,S,M,M,M,S,H
Bay Leaf,M,M,M,H,M,M
Sage,S,M,M,M,S,H
Ajwain,M,M,M,H,H,M
Neem,P,P,P,P,P,M
Amla,H,H,H,P,H,M
Guduchi (Giloy),M,M,M,H,M,H
Moringa,H,H,H,P,H,M
Curry Leaf,P,P,H,H,M,M
Betel Vine,H,P,H,M,S,S
Sarpagandha,M,M,M,H,M,M
Long Pepper,M,M,M,M,S,H
Punarnava,M,M,M,H,M,M
Teak,H,H,M,H,M,P
Eucaplyptus,H,H,H,H,P,M
Casuarina,P,H,H,M,S,U
Melia dubia,H,H,H,H,H,M
Neem,P,P,P,P,P,M
Silver Oak,M,M,M,H,M,H
Acacia,M,M,M,H,P,M
Gmelina,M,M,M,H,M,M
Red Sanders,U,U,U,P,P,U
Banmboo,M,M,M,M,M,P
