Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
Rice,H,P,P,M,S,M
Maize,M,M,M,M,S,S
Jowar,H,M,M,M,H,S
Bajra,H,M,M,S,P,M
Bengal Gram,U,S,S,M,P,U
Groundnut,H,H,H,H,M,U
Sunflower,M,H,H,P,H,U
Castor,U,M,M,H,H,U
Safflower,U,S,M,M,H,U
Sesame,M,M,M,M,M,S
Greengram,M,M,M,M,M,S
Blackgram,M,M,M,M,S,M
Redgram,S,S,S,M,M,S
Chillies,H,P,P,H,M,M
Onion,M,H,H,H,M,S
Tomato,H,H,H,H,M,M
Brinjal,H,H,H,H,M,M
Cabbage,M,M,M,M,S,H
Cauliflower,M,M,M,M,S,H
Carrot,M,M,M,H,M,M
Beetroot,M,M,M,H,M,M
Radish,H,H,H,H,M,H
Coriander,H,H,H,H,M,M
Peas,S,M,M,M,S,H
Beans,M,M,M,H,S,H
Cotton (Late),M,S,S,M,H,U
Sun Hemp,S,S,S,S,S,U
Cumin,S,M,M,M,H,U
Fenugreek,M,M,M,H,H,S
Garlic,M,M,M,H,M,S
Turmeric (Late),M,H,H,P,S,H
Marigold,H,P,P,H,M,M
Chrysanthemum,H,P,P,H,M,H
China Aster,M,H,H,H,M,M
Calendula,M,M,M,H,M,H
Petunia,M,H,H,H,M,H
Pansy,S,M,M,H,M,H
Dianthus,M,H,H,H,M,M
Verbena,M,H,H,H,S,M
Phlox,M,H,H,H,S,M
Antirrhinum,M,H,H,H,M,M
Coriander,H,P,P,H,M,M
Fenugreek Leaves,H,H,H,H,H,M
Dill,M,M,M,H,M,M
Parsley,M,M,M,H,M,M
Celery,S,M,M,M,S,M
Spring Onion,M,H,H,H,M,M
Mint,H,H,H,H,M,H
Rosemary,S,M,M,M,S,H
Ashwagandha,H,H,H,P,P,M
Isabgol,S,M,M,M,H,U
Safed Musli,M,M,M,H,M,M
Shatavari,M,M,M,H,M,M
Giloy,M,M,M,H,M,H
Kalmegh,M,M,M,M,M,S
,,,,,,
Berseem (Egyptian Clover),S,M,M,M,M,H
Lucerne (Alfalfa),S,M,M,M,M,H
Oats (Fodder),S,M,M,M,M,H
Fodder Sorghum (Late sown),S,S,S,M,H,S
Fodder Bajra (Late sown),S,S,S,M,H,S
Fodder Maize (Winter),S,M,M,M,M,S
Cowpea (Fodder Residual),M,M,M,M,M,S
Hybrid Napier (Perennial cuts),M,H,H,H,H,M
Guinea Grass (Perennial cuts),M,M,M,M,M,M
